feedback,polaridad
"La experiencia fue excelente, muy recomendada",P
"Nunca recibí lo que pedí, pésimo servicio",N
No tengo nada relevante que mencionar,NEU
Definitivamente lo volvería a comprar,P
El paquete estaba incompleto y defectuoso,N
"Es un servicio aceptable, nada espectacular",NEU
Recomendaría este lugar a todos mis amigos,P
"Me decepcionó por completo, no lo recomiendo",N
"Nada sobresaliente, solo un servicio más",NEU
Definitivamente lo volvería a comprar,P
No estoy contento con lo que recibí,N
"Podría ser mejor, pero no es terrible",NEU
"Todo funcionó perfectamente, gracias por el servicio",P
"Nunca recibí lo que pedí, pésimo servicio",N
"La experiencia fue regular, ni buena ni mala",NEU
La comida estuvo deliciosa y el lugar muy limpio,P
Tienen mucho que mejorar en su atención al cliente,N
"Es funcional, pero carece de características extras",NEU
"Gran trabajo, seguiré confiando en ustedes",P
Tienen mucho que mejorar en su atención al cliente,N
"Es funcional, pero carece de características extras",NEU
"Todo funcionó perfectamente, gracias por el servicio",P
El producto llegó tarde y en mal estado,N
"La experiencia fue regular, ni buena ni mala",NEU
"Gran trabajo, seguiré confiando en ustedes",P
El trato recibido fue terrible,N
"Es un servicio aceptable, nada espectacular",NEU
Definitivamente lo volvería a comprar,P
No estoy contento con lo que recibí,N
"La experiencia fue regular, ni buena ni mala",NEU
"El producto cumplió las expectativas, aunque nada especial",P
"Me decepcionó por completo, no lo recomiendo",N
"Es un servicio aceptable, nada espectacular",NEU
Recomendaría este lugar a todos mis amigos,P
"Nunca recibí lo que pedí, pésimo servicio",N
"Es un servicio promedio, no destaca ni decepciona",NEU
El equipo funciona perfectamente,P
Tienen mucho que mejorar en su atención al cliente,N
La calidad es buena pero podría mejorar,NEU
"La experiencia fue excelente, muy recomendada",P
"Me decepcionó por completo, no lo recomiendo",N
"Podría ser mejor, pero no es terrible",NEU
"La experiencia fue excelente, muy recomendada",P
La atención fue deficiente y no cumplieron lo prometido,N
"Es un servicio promedio, no destaca ni decepciona",NEU
Estoy muy satisfecho con el servicio,P
"Me decepcionó por completo, no lo recomiendo",N
"No puedo decir que esté mal, pero tampoco excelente",NEU
Definitivamente lo volvería a comprar,P
La atención fue deficiente y no cumplieron lo prometido,N
"Es funcional, pero carece de características extras",NEU
Recomendaría este lugar a todos mis amigos,P
"Me decepcionó por completo, no lo recomiendo",N
"No puedo decir que esté mal, pero tampoco excelente",NEU
El equipo funciona perfectamente,P
"Me decepcionó por completo, no lo recomiendo",N
"No puedo decir que esté mal, pero tampoco excelente",NEU
Estoy muy satisfecho con el servicio,P
El producto llegó tarde y en mal estado,N
La calidad es buena pero podría mejorar,NEU
El equipo funciona perfectamente,P
El paquete estaba incompleto y defectuoso,N
"Cumple con lo básico, pero no destaca",NEU
El servicio fue rápido y eficiente,P
